ID,Address,Beds,Bath,Area,Date,Action,Amount,Rate_sqft,Source
110,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",08-02-1991,Sold,"$122,000",$101,Public Record
111,5001-Forest-View-Dr_San-Jose_CA_95129_M24759-09466,4bed,2bath,"1,653sqft",10-07-2020,Listed,"$1,575,000",$952,BayEast
112,5001-Forest-View-Dr_San-Jose_CA_95129_M24759-09466,4bed,2bath,"1,653sqft",10-07-2020,Listed,"$1,575,000",$952,BayEast
113,3655-Kersten-Dr_San-Jose_CA_95124_M13741-90514,3bed,2bath,"1,215sqft",10-12-2020,Listed,"$1,230,000","$1,012",MLSListings
114,3655-Kersten-Dr_San-Jose_CA_95124_M13741-90514,3bed,2bath,"1,215sqft",10-03-2003,Sold,"$500,000",$411,Public Record
115,3655-Kersten-Dr_San-Jose_CA_95124_M13741-90514,3bed,2bath,"1,215sqft",10-12-2020,Listed,"$1,230,000","$1,012",MLSListings
116,3655-Kersten-Dr_San-Jose_CA_95124_M13741-90514,3bed,2bath,"1,215sqft",10-03-2003,Sold,"$500,000",$411,Public Record
117,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",10-07-2020,Listed,"$1,200,000",$770,MLSListings
118,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",01-12-1989,Sold,"$262,500",$168,Public Record
119,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",07/16/1986,Sold,"$179,000",$114,Public Record
120,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",10-07-2020,Listed,"$1,200,000",$770,MLSListings
121,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",01-12-1989,Sold,"$262,500",$168,Public Record
122,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,4bed,2bath,"1,558sqft",07/16/1986,Sold,"$179,000",$114,Public Record
123,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",10-09-2020,Listed,"$529,888",$516,MLSListings
124,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",12/21/2004,Sold,"$347,500",$338,Public Record
125,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",08/17/1990,Sold,"$153,000",$149,Public Record
126,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",10-09-2020,Listed,"$529,888",$516,MLSListings
127,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",12/21/2004,Sold,"$347,500",$338,Public Record
128,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,2bed,2bath,"1,026sqft",08/17/1990,Sold,"$153,000",$149,Public Record
129,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",10-10-2020,Listed,"$1,599,000",$665,BayEast
130,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",10-10-2020,Listed,"$1,599,000",$665,MLSListings
131,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",06/25/1984,Sold,"$115,000",$47,Public Record
132,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",10-10-2020,Listed,"$1,599,000",$665,BayEast
133,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",10-10-2020,Listed,"$1,599,000",$665,MLSListings
134,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,4bed,2bath,"2,404sqft",06/25/1984,Sold,"$115,000",$47,Public Record
135,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",10-08-2020,Listed,"$650,000",$561,MLSListings
136,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",11/15/2011,Sold,"$290,000",$254,MLSListings
137,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",08/24/2011,Listed,"$299,000",$262,MLSListings
138,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",07/29/2011,Listed,"$299,000",$262,MLSListings
139,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",07/13/2004,Sold,"$365,000",$320,Public Record
140,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",04/18/1989,Sold,"$120,000",$105,Public Record
141,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",12/31/1987,Sold,"$22,000,000","$19,332",Public Record
142,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",10-08-2020,Listed,"$650,000",$561,MLSListings
143,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",11/15/2011,Sold,"$290,000",$254,MLSListings
144,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",08/24/2011,Listed,"$299,000",$262,MLSListings
145,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",07/29/2011,Listed,"$299,000",$262,MLSListings
146,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",07/13/2004,Sold,"$365,000",$320,Public Record
147,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",04/18/1989,Sold,"$120,000",$105,Public Record
148,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,2bed,2bath,"1,157sqft",12/31/1987,Sold,"$22,000,000","$19,332",Public Record
149,1847-Vollmer-Way_San-Jose_CA_95116_M10061-05354,3bed,1bath,"1,109sqft",10/13/2020,Listed,"$749,900",$676,MLSListings
150,1847-Vollmer-Way_San-Jose_CA_95116_M10061-05354,3bed,1bath,"1,109sqft",05/23/2003,Sold,"$380,000",$342,Public Record
151,1847-Vollmer-Way_San-Jose_CA_95116_M10061-05354,3bed,1bath,"1,109sqft",10/13/2020,Listed,"$749,900",$676,MLSListings
152,1847-Vollmer-Way_San-Jose_CA_95116_M10061-05354,3bed,1bath,"1,109sqft",05/23/2003,Sold,"$380,000",$342,Public Record
153,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",10-09-2020,Listed,"$1,480,000",$741,MLSListings
