ID,Address,Zip_Code,beds,baths,Area,Amount_dollar,Rate_dollar_sqft
254,206-Peppermint-Tree-Ter-Unit-4_Sunnyvale_CA_94086_M13472-39808,94086,3,3,1225,1168000,953.5
255,20728-Celeste-Cir_Cupertino_CA_95014_M19826-75916,95014,2,2,1199,999999,834.0
256,20729-Celeste-Cir_Cupertino_CA_95014_M19703-03623,95014,1,1,871,775000,889.8
257,20748-Celeste-Cir_Cupertino_CA_95014_M19352-36371,95014,2,2,1199,1030000,859.0
258,20749-Celeste-Cir_Cupertino_CA_95014_M19320-68766,95014,2,2,1206,1098000,910.4
259,2090-Del-Monte-Ave_Santa-Clara_CA_95051_M11733-45549,95051,3,2,1474,1198000,812.8
260,2090-Main-St_Santa-Clara_CA_95050_M12913-66789,95050,2,2,985,1099000,1115.7
261,2095-Scott-Blvd-Apt-3_Santa-Clara_CA_95050_M14821-71776,95050,3,2.5,1480,795000,537.2
262,20972-Greenleaf-Dr_Cupertino_CA_95014_M19871-10563,95014,5,4,3383,3375000,997.6
263,20-Larisa-Oaks-Pl_San-Jose_CA_95138_M29212-65298,95138,4,2.5,1722,1088000,631.8
264,21072-Red-Fir-Ct_Cupertino_CA_95014_M23434-84771,95014,2,1.5,1003,949000,946.2
265,2108-Mendocino-Ln_San-Jose_CA_95124_M15633-81481,95124,3,2.5,1535,1088000,708.8
266,21098-White-Fir-Ct_Cupertino_CA_95014_M23031-25755,95014,3,2,1003,1098000,1094.7
267,210-Branham-Ln-E_San-Jose_CA_95111_M22733-31803,95111,3,2,1542,950000,616.1
268,2110-Rancho-McCormick-Blvd_Santa-Clara_CA_95050_M13363-84047,95050,3,2.5,1636,1195000,730.4
269,2117-Monterey-Ave_Santa-Clara_CA_95051_M11944-38072,95051,3,2,1302,1349000,1036.1
270,2150-Almaden-Rd-Spc-244_San-Jose_CA_95125_M96523-87266,95125,3,2,1160,289000,249.1
271,21700-Rainbow-Ct_Cupertino_CA_95014_M25089-08289,95014,4,4.5,4850,3988000,822.3
272,21710-Regnart-Rd_Cupertino_CA_95014_M22615-74230,95014,4,2.5,2882,5898000,2046.5
273,21965-Hyannisport-Dr_Cupertino_CA_95014_M21955-01714,95014,4,3,2119,2299888,1085.4
274,21972-McClellan-Rd_Cupertino_CA_95014_M22536-36584,95014,4,3.5,3814,3555000,932.1
275,2200-Agnew-Rd-Apt-223_Santa-Clara_CA_95054_M22425-28184,95054,2,2,1092,675000,618.1
276,2200-Agnew-Rd-Apt-312_Santa-Clara_CA_95054_M22279-57201,95054,2,2,1177,649999,552.3
277,2200-Agnew-Rd-Apt-322_Santa-Clara_CA_95054_M22434-59833,95054,2,2,1316,739888,562.2
278,2200-Agnew-Rd-Apt-323_Santa-Clara_CA_95054_M22446-52343,95054,2,2,1177,748000,635.5
279,22050-Regnart-Rd_Cupertino_CA_95014_M15789-59438,95014,5,4,6092,4195000,688.6
280,220-Mountain-Springs-Dr_San-Jose_CA_95136_M92619-51210,95136,2,2,1320,275000,208.3
281,22284-Carta-Blanca-St_Cupertino_CA_95014_M18667-04303,95014,4,2,2068,2588000,1251.5
282,22381-McClellan-Rd_Cupertino_CA_95014_M22685-42961,95014,4,2.5,1807,2888000,1598.2
283,22434-Saint-Andrews-Ave_Cupertino_CA_95014_M21990-04712,95014,4,2,1910,2298000,1203.1
284,22561-Ricardo-Rd_Cupertino_CA_95014_M20870-50330,95014,4,3.5,2837,3310000,1166.7
285,2262-Plummer-Ave_San-Jose_CA_95125_M13038-95574,95125,3,1.5,1452,1499000,1032.4
286,22687-Royal-Oak-Way_Cupertino_CA_95014_M21596-51877,95014,3,2.5,1614,1568000,971.5
287,230-Calvert-Ct_Santa-Clara_CA_95051_M29718-37199,95051,3,2,1321,1695000,1283.1
288,2326-Warburton-Ave_Santa-Clara_CA_95050_M12685-60032,95050,4,2,1909,1750000,916.7
289,2346-Castro-Pl_Santa-Clara_CA_95050_M12205-24232,95050,3,2,1053,1048000,995.3
290,235-Red-Oak-Dr-W-Apt-K_Sunnyvale_CA_94086_M29378-99298,94086,2,1,926,700000,755.9
291,2362-La-Terrace-Cir_San-Jose_CA_95123_M24356-65396,95123,2,2,1157,650000,561.8
292,2364-Alberta-Ct_Santa-Clara_CA_95050_M13376-51089,95050,4,2,1393,1350000,969.1
293,23687-Black-Oak-Way_Cupertino_CA_95014_M21545-83709,95014,4,3.5,3125,3188000,1020.2
294,2368-Benton-St_Santa-Clara_CA_95050_M26160-96512,95050,3,1.5,1330,1290000,969.9
295,236-Red-Oak-Dr-E-Apt-F_Sunnyvale_CA_94086_M29627-18416,94086,3,1.5,1174,798000,679.7
296,2380-Homestead-Rd-Unit-3103_Santa-Clara_CA_95050_M28532-19704,95050,1,1,624,499000,799.7
297,2388-Shoreside-Ct_Santa-Clara_CA_95054_M22187-89779,95054,4,2.5,1800,949000,527.2
298,2416-Glen-Fox-Ct_San-Jose_CA_95148_M21056-67956,95148,5,2,2206,1199000,543.5
299,2420-S-Park-Ln_Santa-Clara_CA_95051_M10869-25828,95051,3,3,1197,949999,793.6
300,2451-Golf-Links-Cir_Santa-Clara_CA_95050_M28904-85647,95050,3,2.5,2088,1299000,622.1
301,247-Martinvale-Ln_San-Jose_CA_95119_M17375-95391,95119,4,2,1308,888000,678.9
302,2491-Ocala-Ave_San-Jose_CA_95122_M13916-99210,95122,3,2,1094,775000,708.4
303,2494-Golf-Links-Cir_Santa-Clara_CA_95050_M29438-50477,95050,3,2,1825,1325000,726.0
304,2495-Benton-St_Santa-Clara_CA_95051_M25327-69865,95051,3,2,1564,1298000,829.9
305,2509-Royalridge-Way_Santa-Clara_CA_95051_M11632-09212,95051,3,2.5,1383,999888,723.0
306,250-Santa-Fe-Ter-Apt-107_Sunnyvale_CA_94085_M27094-21805,94085,2,2,1061,849900,801.0
307,2527-Palmdale-Ct_Santa-Clara_CA_95051_M11527-00216,95051,2,2,1092,938888,859.8
308,253-Honeylocust-Ter_Sunnyvale_CA_94086_M12736-39938,94086,3,2.5,1629,1299000,797.4
309,2585-El-Camino-Real-Apt-202_Santa-Clara_CA_95051_M14791-43450,95051,2,2,1006,886000,880.7
310,2590-Dixon-Dr_Santa-Clara_CA_95051_M26824-29890,95051,3,2,1166,1324900,1136.3
311,2592-Baton-Rouge-Dr_San-Jose_CA_95133_M12692-57844,95133,2,2.5,1504,828000,550.5
312,2600-Cortez-Dr-Unit-7201_Santa-Clara_CA_95051_M13999-10770,95051,3,2,974,800000,821.4
313,2602-Birchtree-Ln_Santa-Clara_CA_95051_M29206-71060,95051,5,3,2583,2199888,851.7
314,2619-Elliot-St_Santa-Clara_CA_95051_M10738-82748,95051,3,2,1559,1550000,994.2
315,2622-Raritan-Pl_San-Jose_CA_95148_M25044-82997,95148,3,3,1966,1179000,599.7
316,2625-Bonnie-Dr_Santa-Clara_CA_95051_M10514-48651,95051,4,2,1315,1420000,1079.8
317,2625-Keystone-Ave-Apt-208_Santa-Clara_CA_95051_M29401-98414,95051,2,1.5,1065,649950,610.3
318,2658-Warburton-Ave_Santa-Clara_CA_95051_M10102-69784,95051,3,2.5,1757,1400000,796.8
319,2664-Senter-Rd-Apt-228_San-Jose_CA_95111_M28197-93286,95111,2,2,1026,529888,516.5
320,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,95125,4,3,2132,1798000,843.3
321,2682-Estella-Dr_Santa-Clara_CA_95051_M29513-03665,95051,5,3,2539,2198000,865.7
322,2711-Aida-Ave_San-Jose_CA_95122_M25491-71160,95122,4,2,1502,848000,564.6
323,2722-Millbrae-Way_San-Jose_CA_95121_M14022-22727,95121,2,1,992,698000,703.6
324,2726-Donovan-Ave_Santa-Clara_CA_95051_M29893-63565,95051,3,3,1578,1199950,760.4
325,2730-Viterbo-Ct-Unit-2_San-Jose_CA_95111_M97660-74744,95111,2,2.5,1303,739000,567.2
326,2738-El-Sobrante-St_Santa-Clara_CA_95051_M26366-30047,95051,3,2,1418,1298000,915.4
327,2815-Newhall-St_Santa-Clara_CA_95050_M14860-37650,95050,2,1.5,1267,850000,670.9
328,281-E-Eaglewood-Ave_Sunnyvale_CA_94085_M25793-26399,94085,3,2,1148,1229900,1071.3
329,286-Meadowlake-Dr_Sunnyvale_CA_94089_M14596-08762,94089,4,3,1405,1388000,987.9
330,2901-Salem-Dr_Santa-Clara_CA_95051_M27941-90451,95051,3,2.5,1630,1249888,766.8
331,2911-Salem-Dr_Santa-Clara_CA_95051_M28014-20044,95051,3,2.5,1630,1125000,690.2
332,2920-Pruneridge-Ave_Santa-Clara_CA_95051_M29909-91894,95051,4,2.5,1749,1748888,999.9
333,2923-Kaiser-Dr_Santa-Clara_CA_95051_M14919-25669,95051,3,3.5,1951,1550000,794.5
334,2939-McKinley-Dr_Santa-Clara_CA_95051_M10221-83513,95051,2,2,954,1150000,1205.5
335,2940-Via-Torino_Santa-Clara_CA_95051_M14877-89149,95051,3,3.5,1820,1499888,824.1
336,2980-Kaiser-Dr_Santa-Clara_CA_95051_M14874-91022,95051,4,3.5,1961,1550000,790.4
337,2980-Salem-Dr_Santa-Clara_CA_95051_M17913-87449,95051,3,2.5,1630,1124888,690.1
338,2980-Via-Torino_Santa-Clara_CA_95051_M14868-94767,95051,3,3.5,1600,1475000,921.9
339,298-Agustin-Narvaez-St_San-Jose_CA_95136_M93696-47577,95136,3,3.5,1792,1058143,590.5
340,2993-Knights-Bridge-Rd_San-Jose_CA_95132_M13119-35572,95132,4,2,1480,1050000,709.5
341,2995-Via-Torino_Santa-Clara_CA_95051_M14889-07127,95051,4,3.5,1961,1499000,764.4
342,3001-Kaiser-Dr-Unit-B_Santa-Clara_CA_95051_M27265-15500,95051,2,2,992,690000,695.6
343,3023-Kaiser-Dr-Unit-H_Santa-Clara_CA_95051_M26935-35141,95051,2,1.5,1097,598000,545.1
344,3033-Kaiser-Dr-Unit-H_Santa-Clara_CA_95051_M27127-64367,95051,1,1,680,495000,727.9
345,3055-Hope-St_San-Jose_CA_95111_M10518-19293,95111,4,1,1210,850000,702.5
346,3055-Manuel-Loop_San-Jose_CA_95136_M25915-25872,95136,4,3.5,2148,1069900,498.1
347,3061-El-Sobrante-St_Santa-Clara_CA_95051_M26582-44293,95051,2,1,1162,1428800,1229.6
348,306-Orchard-Ave_Sunnyvale_CA_94085_M25987-04689,94085,2,1,1092,1168000,1069.6
349,3070-Adams-Way_Santa-Clara_CA_95051_M29657-62851,95051,3,2,1683,1798000,1068.3
350,3086-Humbolt-Ave_Santa-Clara_CA_95051_M26588-03282,95051,6,3,2707,2199000,812.3
351,3086-Taper-Ave_Santa-Clara_CA_95051_M12147-85277,95051,3,2,1458,1250000,857.3
352,3088-Toomey-Pl_Santa-Clara_CA_95051_M96226-81638,95051,4,4.5,2990,2383000,797.0
353,3089-Toomey-Pl-76_Santa-Clara_CA_95051_M93731-90682,95051,4,4.5,2557,2098000,820.5
354,309-Saturn-Ter_Sunnyvale_CA_94086_M16621-11894,94086,3,2.5,1400,1450000,1035.7
355,30-E-Julian-St-Unit-102_San-Jose_CA_95112_M10685-09360,95112,2,2,1235,769000,622.7
356,30-E-Julian-St-Unit-105_San-Jose_CA_95112_M10736-89326,95112,2,2,1271,814999,641.2
357,3105-Machado-Ave_Santa-Clara_CA_95051_M12008-10548,95051,3,2,1078,995000,923.0
358,3121-Mount-Vista-Dr_San-Jose_CA_95127_M20666-32141,95127,4,2,1260,950000,754.0
359,3131-Membrillo-Corte_Santa-Clara_CA_95051_M26135-62428,95051,3,2.5,1543,1350000,874.9
360,3151-Arroba-Way_San-Jose_CA_95118_M10747-80188,95118,4,1,1140,895000,785.1
361,315-Avenida-Pinos_San-Jose_CA_95123_M14073-90098,95123,3,2,1374,925000,673.2
362,3176-Vinifera-Dr_San-Jose_CA_95135_M27392-50211,95135,3,2.5,1628,1049000,644.3
363,3181-Monroe-St_Santa-Clara_CA_95051_M11118-19478,95051,3,1,897,998888,1113.6
364,3206-Woodcrest-Dr_San-Jose_CA_95118_M18650-44914,95118,3,2,1573,1299000,825.8
365,3210-Gatelight-Ct_San-Jose_CA_95148_M26543-98809,95148,4,3,2021,1350000,668.0
366,325-Madison-St_Santa-Clara_CA_95050_M21352-91323,95050,4,3,912,1088000,1193.0
367,3271-Catalina-Ave_Santa-Clara_CA_95051_M26340-95962,95051,4,2,1700,1749000,1028.8
368,3271-Fallen-Oak-Ct_San-Jose_CA_95148_M18336-90958,95148,3,1.5,892,919888,1031.3
369,3292-Geneva-Dr_Santa-Clara_CA_95051_M29439-99540,95051,3,3,1826,1798000,984.7
370,3300-Narvaez-Ave-Spc-116_San-Jose_CA_95136_M28216-05710,95136,2,2,960,120000,125.0
371,3301-Cannongate-Ct_San-Jose_CA_95121_M26222-72418,95121,2,1,826,559000,676.8
372,3303-Kifer-Rd-Unit-111_Santa-Clara_CA_95051_M94973-90357,95051,4,3.5,1940,1449995,747.4
373,3306-Mosscreek-Ln_San-Jose_CA_95121_M22481-10984,95121,2,1.5,1008,555000,550.6
374,3309-Benton-St_Santa-Clara_CA_95051_M26582-81559,95051,3,2,1325,1150000,867.9
375,3331-Pruneridge-Ave_Santa-Clara_CA_95051_M27842-03179,95051,5,3,2679,1699000,634.2
376,3331-Senter-Rd_San-Jose_CA_95111_M25770-85277,95111,3,2,1197,572000,477.9
377,3332-Allen-Ct_Santa-Clara_CA_95051_M29360-99161,95051,5,3,1868,1888000,1010.7
378,3354-Londonderry-Pl_Santa-Clara_CA_95050_M11435-21422,95050,3,2,1511,1475000,976.2
379,335-Pineview-Dr_Santa-Clara_CA_95050_M10735-35982,95050,4,3,2251,1688888,750.3
380,3365-Georgetown-Pl_Santa-Clara_CA_95051_M12319-27610,95051,4,3.5,2024,1999950,988.1
381,336-Amaryllis-Ter_Sunnyvale_CA_94086_M22803-99031,94086,3,2.5,1512,1298888,859.1
382,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,95111,3,2,1197,559888,467.7
383,3435-Benton-St_Santa-Clara_CA_95051_M27084-41518,95051,4,2.5,1476,1120000,758.8
384,3441-Wine-Cork-Way_San-Jose_CA_95124_M18842-48247,95124,2,1,868,629950,725.7
385,3449-Cedardale-Dr_San-Jose_CA_95148_M15006-50304,95148,4,2.5,2516,1348000,535.8
386,3455-Bonita-Ave_Santa-Clara_CA_95051_M11676-81125,95051,3,2,1240,1200000,967.7
387,3485-Pruneridge-Ave_Santa-Clara_CA_95051_M27882-65167,95051,3,1.5,1500,1378000,918.7
388,3492-Toomey-Pl_Santa-Clara_CA_95051_M95328-34073,95051,3,3.5+,2462,1995000,810.3
389,3498-Toomey-Pl-63_Santa-Clara_CA_95051_M93203-62016,95051,4,4.5,2557,2223000,869.4
390,3501-Ranch-Pl_San-Jose_CA_95132_M24804-18645,95132,4,2,2404,1599000,665.1
391,3510-Hilary-Dr_San-Jose_CA_95124_M18104-35787,95124,3,2,1281,1289000,1006.2
392,3511-Tracy-Dr_Santa-Clara_CA_95051_M29399-74819,95051,3,2,1420,1895000,1334.5
393,353-Amaryllis-Ter_Sunnyvale_CA_94086_M22800-63637,94086,3,2.5,1353,1345000,994.1
394,3540-Benton-St_Santa-Clara_CA_95051_M26595-85867,95051,3,2,1166,1349000,1156.9
395,3572-Wolf-Pl_Santa-Clara_CA_95051_M26521-72358,95051,4,3.5,1993,1399950,702.4
396,3578-Rambla-Pl-Unit-313_Santa-Clara_CA_95051_M94670-02660,95051,2,2.5,1432,1099995,768.2
397,3578-Rambla-Pl-Unit-415_Santa-Clara_CA_95051_M96716-44293,95051,2,2.5,1432,1119995,782.1
398,3578-Rambla-Pl-Unit-416_Santa-Clara_CA_95051_M91164-21416,95051,1,1,936,899995,961.5
399,3581-Flint-Creek-Dr_San-Jose_CA_95148_M13377-75391,95148,3,2.5,1720,755000,439.0
400,3585-Druffel-Pl_Santa-Clara_CA_95051_M19924-78753,95051,4,4,1998,1448000,724.7
401,3586-Slopeview-Dr_San-Jose_CA_95148_M15683-13884,95148,4,3,2106,1388000,659.1
402,3655-Kersten-Dr_San-Jose_CA_95124_M13741-90514,95124,3,2,1215,1230000,1012.3
403,365-Esfahan-Ct_San-Jose_CA_95111_M12486-23912,95111,3,2.5,1724,865888,502.3
404,3681-Manda-Dr_San-Jose_CA_95124_M14798-76727,95124,3,2,1309,1235000,943.5
405,369-N-Murphy-Ave_Sunnyvale_CA_94085_M26432-37491,94085,3,1,1042,1350000,1295.6
406,36-Avenida-Espana_San-Jose_CA_95139_M19818-07335,95139,4,1.5,1360,959000,705.1
407,3715-Terstena-Pl-Apt-204_Santa-Clara_CA_95051_M29801-96143,95051,2,2,1456,928000,637.4
408,3728-Europe-Ct_Santa-Clara_CA_95051_M15514-71695,95051,3,2.5,1803,1230000,682.2
409,3744-Benton-St_Santa-Clara_CA_95051_M14584-18636,95051,4,3,1735,1688888,973.4
410,374-Coyote-Creek-Cir_San-Jose_CA_95116_M14424-57349,95116,2,2,849,539000,634.9
411,3750-Jasmine-Cir_San-Jose_CA_95135_M21043-87616,95135,2,2,1037,725888,700.0
412,3762-Carlysle-Ave_Santa-Clara_CA_95051_M15000-07428,95051,3,2,1147,1648000,1436.8
413,379-Dunsmuir-Ter-Unit-3_Sunnyvale_CA_94085_M26532-24763,94085,3,3,1150,899000,781.7
414,379-Dunsmuir-Ter-Unit-4_Sunnyvale_CA_94085_M26569-51358,94085,2,2.5,1150,979000,851.3
415,3836-Dunford-Way_Santa-Clara_CA_95051_M14890-13975,95051,6,3,2072,1898888,916.5
416,383-Greenlake-Dr_Sunnyvale_CA_94089_M22809-86637,94089,3,2,1187,1150000,968.8
417,386-Santa-Elena-Ter-1_Sunnyvale_CA_94085_M12821-63260,94085,3,3.5,1877,1399900,745.8
418,3887-Kensington-Ave_Santa-Clara_CA_95051_M14909-89070,95051,3,2,1388,1688000,1216.1
419,389-E-Arques-Ave_Sunnyvale_CA_94085_M26264-30551,94085,3,1,912,1099888,1206.0
420,3901-Lick-Mill-Blvd-Apt-215_Santa-Clara_CA_95054_M28890-68684,95054,1,1,900,759759,844.2
421,3901-Lick-Mill-Blvd-Apt-322_Santa-Clara_CA_95054_M10030-89196,95054,2,2,1148,899000,783.1
422,395-Sunset-Ave_Sunnyvale_CA_94086_M15810-83598,94086,3,2,1451,1898000,1308.1
423,4082-Davis-St_Santa-Clara_CA_95054_M20620-33480,95054,4,3,1992,1499999,753.0
424,410-Auburn-Way-Apt-26_San-Jose_CA_95129_M11039-22155,95129,2,1.5,1099,588000,535.0
425,413-Cloverdale-Ln_Campbell_CA_95008_M15940-34902,95008,3,2.5,1988,1698000,854.1
426,416-N-Bayview-Ave_Sunnyvale_CA_94085_M25978-10307,94085,3,2,940,1250000,1329.8
427,4203-Tobin-Cir_Santa-Clara_CA_95054_M26182-56224,95054,3,3,1590,1395000,877.4
428,4205-Marston-Ln_Santa-Clara_CA_95054_M22943-75993,95054,3,3.5,2128,1799900,845.8
429,420-Macarthur-Ave_San-Jose_CA_95128_M24297-73006,95128,4,3,2360,1250000,529.7
430,4226-Siena-Ct_San-Jose_CA_95135_M13571-68202,95135,3,2.5,1456,1088000,747.3
431,422-San-Eduardo-Ter_Sunnyvale_CA_94085_M12351-37646,94085,3,3.5,1691,1298000,767.6
432,426-Chestnut-Park-Ct_San-Jose_CA_95136_M20923-33046,95136,4,2.5,2124,1128888,531.5
433,427-Coakley-Dr_San-Jose_CA_95117_M19797-52634,95117,3,2,1488,1380000,927.4
434,4282-Dry--Ct_Santa-Clara_CA_95054_M22173-36407,95054,4,3,1800,1249000,693.9
435,431-Rosemont-Dr_Santa-Clara_CA_95051_M29502-22953,95051,3,2,1056,1680000,1590.9
436,436-Central-Ave_Sunnyvale_CA_94086_M27914-44144,94086,2,1,901,1199000,1330.7
437,4423-Latimer-Ave_San-Jose_CA_95130_M16450-98172,95130,3,2,1363,1348000,989.0
438,442-Costa-Mesa-Ter-Apt-B_Sunnyvale_CA_94085_M16315-78950,94085,2,1,880,698888,794.2
439,4444-Terra-Brava-Pl_San-Jose_CA_95121_M21618-17582,95121,5,3.5,4029,2465000,611.8
440,4465-Lafayette-St_Santa-Clara_CA_95054_M14967-85253,95054,3,2.5,1726,1149000,665.7
441,446-Greenwood-Dr_Santa-Clara_CA_95054_M21186-56191,95054,4,3,1914,1670000,872.5
442,450-E-Olive-Ave_Sunnyvale_CA_94086_M28231-57461,94086,5,3,2553,2298000,900.1
443,4519-Laird-Cir_Santa-Clara_CA_95054_M13125-65881,95054,3,2.5,1700,1299800,764.6
444,455-N-19th-St_San-Jose_CA_95112_M28836-86707,95112,2,1,986,799998,811.4
445,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,95110,2,1,907,608888,671.3
446,4613-Hampton-Falls-Pl_San-Jose_CA_95136_M28604-48593,95136,3,2.5,1992,899950,451.8
447,4621-Burke-Dr_Santa-Clara_CA_95054_M20955-14041,95054,3,2,1095,1050000,958.9
448,4621-Cheeney-St_Santa-Clara_CA_95054_M22379-44473,95054,3,2.5,1667,1488000,892.6
449,4647-Demaret-Dr_Santa-Clara_CA_95054_M20809-05791,95054,3,2,1095,899000,821.0
450,467-Bancroft-St_Santa-Clara_CA_95051_M27948-23973,95051,5,3,2229,1998888,896.8
451,4685-Albany-Cir-Apt-124_San-Jose_CA_95129_M27805-91440,95129,2,2,1350,819950,607.4
452,4703-Cheeney-St_Santa-Clara_CA_95054_M22409-25749,95054,3,2.5,1667,1299999,779.8
453,470-N-Winchester-Blvd-Apt-404_Santa-Clara_CA_95050_M21383-84396,95050,3,2,1284,699888,545.1
454,470-Sequoia-Dr_Sunnyvale_CA_94086_M29160-98722,94086,3,2,1417,1698000,1198.3
455,472-Norwood-Cir_Santa-Clara_CA_95051_M19672-36106,95051,4,3.5,2398,1850000,771.5
456,472-N-Winchester-Blvd-Apt-7_Santa-Clara_CA_95050_M21313-03867,95050,3,2.5,1577,998000,632.8
457,4843-Yamato-Dr_San-Jose_CA_95111_M23828-19142,95111,4,2.5,2020,799000,395.5
458,4867-Indian-River-Ct_San-Jose_CA_95136_M28158-72138,95136,3,2.5,1360,700000,514.7
459,490-Virginia-Pine-Ter_Sunnyvale_CA_94086_M11649-82936,94086,3,2.5+,1924,1349000,701.1
460,491-Holly-Hock-Ct_San-Jose_CA_95117_M14361-05692,95117,1,1,712,618888,869.2
461,4942-Calle-de-Escuela_Santa-Clara_CA_95054_M21390-77928,95054,2,1.5,1108,748800,675.8
462,4999-Gazania-Dr_San-Jose_CA_95111_M13755-95248,95111,3,2,1374,799900,582.2
463,5001-Forest-View-Dr_San-Jose_CA_95129_M24759-09466,95129,4,2,1653,1575000,952.8
464,5016-Grey-Feather-Cir_San-Jose_CA_95136_M25664-13919,95136,2,1,816,529000,648.3
465,5060-Wayland-Ave_San-Jose_CA_95118_M23263-58090,95118,3,2,1232,935000,758.9
466,507-Bella-Calais-Way_San-Jose_CA_95138_M19916-37321,95138,4,2.5,1942,1259888,648.8
467,507-E-Duane-Ave_Sunnyvale_CA_94085_M25912-88767,94085,4,2.5,1694,1749000,1032.5
468,5080-Plaza-Corona_Santa-Clara_CA_95054_M21461-95723,95054,3,1.5,1240,799900,645.1
469,510-Lyndale-Ave_San-Jose_CA_95127_M26347-09796,95127,3,1,1130,825000,730.1
470,516-Hyde-Park-Dr_San-Jose_CA_95136_M12183-52566,95136,5,3,2533,1260000,497.4
471,517-Sardinia-Trl_Sunnyvale_CA_94089_M90227-98954,94089,4,3.5,2040,1448000,709.8
472,521-Woodstock-Way_Santa-Clara_CA_95054_M21120-22853,95054,4,2,1666,1425000,855.3
473,5249-Cribari-Hls_San-Jose_CA_95135_M12698-99588,95135,2,2,1348,518888,384.9
474,5262-Camden-Ave_San-Jose_CA_95124_M13091-53221,95124,3,2,1372,1249000,910.3
475,527-Holthouse-Ter_Sunnyvale_CA_94087_M22741-38353,94087,2,2.5,1276,1190000,932.6
476,5378-Studebaker-Cir_San-Jose_CA_95136_M29376-79983,95136,3,3,1347,974000,723.1
477,537-E-MC-Kinley-Ave-Apt-A_Sunnyvale_CA_94086_M10699-74989,94086,3,2.5,1764,1338000,758.5
478,539-Weatherly-Dr_San-Jose_CA_95134_M93464-22323,95134,3,2,1440,165000,114.6
479,540-S-8th-St_San-Jose_CA_95112_M22510-17727,95112,3,2,1092,949000,869.0
480,5425-Colony-Green-Dr_San-Jose_CA_95123_M22892-91776,95123,2,1,942,612888,650.6
481,5461-Spinnaker-Walkway-Apt-4_San-Jose_CA_95123_M20947-54322,95123,2,1,798,420000,526.3
482,546-Saratoga-Ave_Santa-Clara_CA_95050_M28782-99684,95050,2,1,990,970000,979.8
483,548-Utica-Dr_Sunnyvale_CA_94087_M24950-30837,94087,4,2.5,2108,2348000,1113.9
484,550-Los-Olivos-Dr_Santa-Clara_CA_95050_M29339-75002,95050,2,2,1700,1299000,764.1
485,554-Los-Olivos-Dr_Santa-Clara_CA_95050_M29440-36806,95050,2,2,1700,1199000,705.3
486,554-Toyon-Ave-Apt-11_San-Jose_CA_95127_M12983-88438,95127,3,2,1419,599888,422.8
487,5569-Perugia-Cir_San-Jose_CA_95138_M26546-12958,95138,5,4.5,4366,3100000,710.0
488,561-San-Pasqual-Ter-Apt-2_Sunnyvale_CA_94085_M98415-09672,94085,4,3.5,2014,1538000,763.7
489,5640-Coniston-Way_San-Jose_CA_95118_M21635-25518,95118,3,2,1555,1199000,771.1
490,5726-San-Lorenzo-Dr_San-Jose_CA_95123_M21223-33353,95123,4,2,1530,869000,568.0
491,574-Leyte-Ter_Sunnyvale_CA_94089_M24187-01811,94089,3,2.5,1600,1299000,811.9
492,577-E-Taylor-Ave-Apt-J_Sunnyvale_CA_94085_M26618-33196,94085,2,2,970,749000,772.2
493,5799-Barnswell-Way_San-Jose_CA_95138_M25604-61518,95138,4,3,1987,998000,502.3
494,582-Manzanita-Ave_Sunnyvale_CA_94085_M26475-60340,94085,4,3,1609,1498000,931.0
495,585-Columbia-Ave_Sunnyvale_CA_94085_M26277-72125,94085,3,2.5+,1955,1950000,997.4
496,587-San-Remi-Ter-54_Sunnyvale_CA_94085_M22094-66841,94085,4,3.5,1882,1500000,797.0
497,5936-Liska-Ln_San-Jose_CA_95119_M16736-98820,95119,4,3,2039,1158000,567.9
498,5962-Pala-Mesa-Dr_San-Jose_CA_95123_M29363-27037,95123,4,2.5,2734,1450000,530.4
499,5976-Mayflower-Ct_San-Jose_CA_95129_M19003-30687,95129,4,2,1687,1998000,1184.4
500,600-E-Weddell-Dr-Spc-147_Sunnyvale_CA_94089_M28089-18691,94089,3,2,1344,130000,96.7
501,600-E-Weddell-Dr-Spc-80_Sunnyvale_CA_94089_M26053-59944,94089,3,2,1248,205000,164.3
502,601-Woodhams-Rd_Santa-Clara_CA_95051_M28253-07513,95051,5,3,1962,1599900,815.4
503,602-Arcadia-Ter-Unit-205_Sunnyvale_CA_94085_M16639-00659,94085,2,2,1160,895000,771.6
504,602-Cypress-Ave_Sunnyvale_CA_94085_M27463-89620,94085,3,2,1406,1300000,924.6
505,606-Arcadia-Ter-Unit-305_Sunnyvale_CA_94085_M26932-48386,94085,2,2,1160,950000,819.0
506,608-Alberta-Ave_Sunnyvale_CA_94087_M27864-53319,94087,4,3,1933,2048000,1059.5
507,609-Pine-Ave_Sunnyvale_CA_94085_M26288-90103,94085,3,2,1565,1528000,976.4
508,612-Santa-Cruz-Ter_Sunnyvale_CA_94085_M26141-32790,94085,3,2.5,1468,1498000,1020.4
509,615-Arcadia-Ter-Unit-102_Sunnyvale_CA_94085_M27124-77612,94085,1,1,867,729000,840.8
510,616-Lakehaven-Ter_Sunnyvale_CA_94089_M14649-00526,94089,3,2.5,1565,1100000,702.9
